Judul,Harga,Penulis,Diskon
"Light Novel So I'm a Spider, So What? 2",103500,Okina Baba,10
Light Novel: The Rising of the Shield Hero 02,103500,Aneko Yusagi,10
Light Novel The Eminence in Shadow 3,103500,Daisuke Aizawa,10
Light Novel Mushoku Tensei – Jobless Reincarnation 03,103500,Rifujin Na Magonote,10
Light Novel: Alya Sometimes Hides Her Feeling in Russian 4.5,97200,Sunsunsun,10
Light Novel: Overlord 3 - The Bloody Valkyrie,121500,Kugane Maruyama,10
"Light Novel So I'm a Spider, So What? 3",103500,Okina Baba,10
Light Novel: Gimai Seikatsu 01 - Hari-Hariku Bersama Saki,88200,Ghost Mikawa,10
Light Novel My Happy Marriage 4,88200,Akumi Agitogi,10
Light Novel Classroom of the Elite 03,88200,Syougo Kinugasa,10
Light Novel: The Summer Hikaru Died 1,76500,Mio Nukaga,10
Light Novel: Aku Dimanjakan Tetanggaku yang Seperti Malaikat 2,103500,Saekisan,10
Light Novel: Alya Sometimes Hides Her Feeling in Russian 5,88200,Sunsunsun,10
Light Novel: Apa Salahnya Mencari Cinta di Dungeon? 2,112500,Saekisan,10
Light Novel The Eminence in Shadow 4,103500,Daisuke Aizawa,10
Light Novel Goblin Slayer 2,108000,Kumo Kagyu,10
Light Novel: The Rising of the Shield Hero 03,103500,Aneko Yusagi,10
Light Novel Who Killed the Brave?,97200,Daken,10
Light Novel Classroom of the Elite 04,88200,Syougo Kinugasa,10
Hospitality: Memenangkan Bisnis Memuliakan Pelanggan,121500,Ibnu Novel Hafidz,10
Light Novel: Gimai Seikatsu 02 - Hari-Hariku Bersama Saki,88200,Ghost Mikawa,10
Light Novel: Overlord 4 - The Lizard Man Heroes,121500,Kugane Maruyama,10
Light Novel My Happy Marriage 5,88200,Akumi Agitogi,10
"Light Novel So I'm a Spider, So What? 4",103500,Okina Baba,10
Light Novel Mushoku Tensei – Jobless Reincarnation 04,103500,Rifujin Na Magonote,10
Light Novel: Alya Sometimes Hides Her Feeling in Russian 6,88200,Sunsunsun,10
Light Novel: Apa Salahnya Mencari Cinta di Dungeon? 3,108000,Saekisan,10
